gid,objectid,loc_name,status,score,match_type,match_addr,longlabel,shortlabel,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,addrange,side,stpredir,stpretype,stname,sttype,stdir,bldgtype,bldgname,leveltype,levelname,unittype,unitname,subaddr,staddr,block,sector,nbrhd,district,city,metroarea,subregion,region,regionabbr,territory,zone,postal,postalext,country,cntryname,langcode,distance,x,y,displayx,displayy,__xmin,__xmax,ymin,ymax,exinfo,arc_single,id,loannumber,borrowerna,borrowerad,borrowerci,borrowerst,borrowerzi,loanstatus,loanstat_1,initialapp,currentapp,currenta_1,servicingl,hubzoneind,businessag,jobsreport,naicscode,lmiindicat,businessty,forgivenes,forgiven_1,full_addre,geom
205,205,World,M,100,A,"1245 Randall Ave, Bronx, New York, 10474","1245 Randall Ave, Bronx, NY, 10474, USA",1245 Randall Ave,PointAddress,NULL,NULL,"1245 Randall Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1245,NULL,NULL,NULL,NULL,NULL,NULL,Randall,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1245 Randall Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6411,USA,United States,ENG,0,-73.88840458,40.81199723,-73.88840458,40.81199723,-73.88940458,-73.88740458,40.81099723,40.81299723,NULL,"1245 RANDALL AVENUE Bronx, NY",25773,6090447204,"SNOW FRESH FOODS, INC",1245 RANDALL AVENUE,Bronx,NY,10474-6411,5/20/21,Paid in Full,428120,428120,428120,"HSBC Bank USA, National Association",Y,Existing or more than 2 years old,29,424480,Y,Subchapter S Corporation,432080.11,4/15/21,"1245 RANDALL AVENUE Bronx, NY",0101000020E6100000B8F1E29EDB7852C0E0CF7286EF674440
206,206,World,M,100,A,"341 Canal Pl, Bronx, New York, 10451","341 Canal Pl, Bronx, NY, 10451, USA",341 Canal Pl,PointAddress,NULL,NULL,"341 Canal Pl, Bronx, New York, 10451",NULL,NULL,20,NULL,341,NULL,NULL,NULL,NULL,NULL,NULL,Canal,Pl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,341 Canal Pl,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,6091,USA,United States,ENG,0,-73.92698397,40.81426688,-73.92698397,40.81426688,-73.92798397,-73.92598397,40.81326688,40.81526688,NULL,"341 Canal Place Bronx, NY",25895,9511157203,COLOR CARTON CORPORATION,341 Canal Place,Bronx,NY,10451,3/19/21,Paid in Full,426500,426500,426500,"Capital One, National Association",Y,Existing or more than 2 years old,52,322212,Y,Subchapter S Corporation,429675.06,2/11/21,"341 Canal Place Bronx, NY",0101000020E6100000A8F68EB4537B52C068D0AAE539684440
207,207,World,M,100,A,"655 E 132nd St, Bronx, New York, 10454","655 E 132nd St, Bronx, NY, 10454, USA",655 E 132nd St,StreetAddress,NULL,NULL,"655 E 132nd St, Bronx, New York, 10454",NULL,NULL,20,NULL,655,669,569,569-669,R,E,NULL,132nd,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,655 E 132nd St,NULL,NULL,Port Morris,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10454,4602,USA,United States,ENG,0,-73.9177527,40.8019323,-73.9177527,40.8019323,-73.9187527,-73.9167527,40.8009323,40.8029323,NULL,"655 east 132 street Bronx, NY",26411,9806487205,"BERMUDA MOTOR CAR RENTING CO., INC.",655 east 132 street,Bronx,NY,10454,1/20/22,Paid in Full,419200,419200,419200,"Capital One, National Association",Y,Existing or more than 2 years old,75,485999,Y,Subchapter S Corporation,425848.98,12/6/21,"655 east 132 street Bronx, NY",0101000020E610000010B9D475BC7A52C080EEBEB7A5664440
209,209,World,M,100,A,"330 Bryant Ave, Bronx, New York, 10474","330 Bryant Ave, Bronx, NY, 10474, USA",330 Bryant Ave,PointAddress,NULL,NULL,"330 Bryant Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,330,NULL,NULL,NULL,NULL,NULL,NULL,Bryant,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,330 Bryant Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,7197,USA,United States,ENG,0,-73.88371859,40.80814277,-73.88371859,40.80814277,-73.88471859,-73.88271859,40.80714277,40.80914277,NULL,"330 Bryant Avenue Bronx, NY",28458,2952227705,YULA CORPORATION,330 Bryant Avenue,Bronx,NY,10474,3/23/21,Paid in Full,391407,391407,391407,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,24,332410,Y,Corporation,383784.65,12/17/20,"330 Bryant Avenue Bronx, NY",0101000020E610000020F16ED88E7852C0E0CEE43871674440
210,210,World,M,100,A,"780 E 134th St, Bronx, New York, 10454","780 E 134th St, Bronx, NY, 10454, USA",780 E 134th St,PointAddress,NULL,NULL,"780 E 134th St, Bronx, New York, 10454",NULL,NULL,20,NULL,780,NULL,NULL,NULL,NULL,E,NULL,134th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,780 E 134th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3527,USA,United States,ENG,0,-73.91279206,40.80134743,-73.91279206,40.80134743,-73.91379206,-73.91179206,40.80034743,40.80234743,NULL,"780 East 134 Street Bronx, NY",29600,4777057300,BROADWAY MINERVA CLEANERS LLC,780 East 134 Street,Bronx,NY,10454,6/30/21,Paid in Full,377155,377155,377155,"TD Bank, National Association",Y,Existing or more than 2 years old,49,812332,Y,Corporation,381094.17,5/12/21,"780 East 134 Street Bronx, NY",0101000020E6100000D4F4662F6B7A52C030CD7E8D92664440
211,211,World,M,100,A,"860 Melrose Ave, Bronx, New York, 10451","860 Melrose Ave, Bronx, NY, 10451, USA",860 Melrose Ave,PointAddress,NULL,NULL,"860 Melrose Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,860,NULL,NULL,NULL,NULL,NULL,NULL,Melrose,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,860 Melrose Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,5757,USA,United States,ENG,0,-73.91389722,40.82377162,-73.91389722,40.82377162,-73.91489722,-73.91289722,40.82277162,40.82477162,NULL,"860 Melrose Avenue Bronx, NY",30605,5313607404,GENIUS THERAPY LLC,860 Melrose Avenue,Bronx,NY,10451,6/23/21,Paid in Full,365198,365198,365198,American Express National Bank,Y,Existing or more than 2 years old,50,541990,Y,Limited  Liability Company(LLC),368829.46,5/12/21,"860 Melrose Avenue Bronx, NY",0101000020E6100000FCF4C04A7D7A52C0F0D23A5971694440
212,212,World,M,100,A,"840 Grand Conc, Bronx, New York, 10451","840 Grand Conc, Bronx, NY, 10451, USA",840 Grand Conc,PointAddress,NULL,NULL,"840 Grand Conc, Bronx, New York, 10451",NULL,NULL,20,NULL,840,NULL,NULL,NULL,NULL,NULL,NULL,Grand,Conc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,840 Grand Conc,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,2914,USA,United States,ENG,0,-73.9229029,40.82592104,-73.9229029,40.82592104,-73.9239029,-73.9219029,40.82492104,40.82692104,NULL,"840 Grand Concourse Bronx, NY",31980,3464397400,"CHILD &AMP; FAMILY SUPPORT SERVICES, INC.",840 Grand Concourse,Bronx,NY,10451-2914,4/19/22,Paid in Full,350000,350000,350000,New York Business Development Corporation,N,Existing or more than 2 years old,74,624110,Y,Non-Profit Organization,354228.77,8/2/21,"840 Grand Concourse Bronx, NY",0101000020E610000020F654D7107B52C080D3D0C7B7694440
213,213,World,M,100,A,"2501 3rd Ave, Bronx, New York, 10451","2501 3rd Ave, Bronx, NY, 10451, USA",2501 3rd Ave,PointAddress,NULL,NULL,"2501 3rd Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,2501,NULL,NULL,NULL,NULL,NULL,NULL,3rd,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2501 3rd Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,6323,USA,United States,ENG,0,-73.92867326,40.81025765,-73.92867326,40.81025765,-73.92967326,-73.92767326,40.80925765,40.81125765,NULL,"2501 3rd Ave Bronx, NY",32399,6833257709,RELISH BD LLC,2501 3rd Ave,Bronx,NY,10451,9/24/21,Paid in Full,346600,346600,346600,"Citibank, N.A.",Y,Existing or more than 2 years old,32,0,Y,Limited  Liability Company(LLC),350922.87,8/5/21,"2501 3rd Ave Bronx, NY",0101000020E6100000DCF6F2616F7B52C078CFCA85B6674440
214,214,World,M,100,A,"1164 Garrison Ave, Bronx, New York, 10474","1164 Garrison Ave, Bronx, NY, 10474, USA",1164 Garrison Ave,PointAddress,NULL,NULL,"1164 Garrison Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1164,NULL,NULL,NULL,NULL,NULL,NULL,Garrison,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164 Garrison Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,4607,USA,United States,ENG,0,-73.88819126,40.8202894,-73.88819126,40.8202894,-73.88919126,-73.88719126,40.8192894,40.8212894,NULL,"1164 Garrison Avenue Bronx, NY",33202,4401127800,EMBLAZE ACADEMY CHARTER SCHOOL,1164 Garrison Avenue,Bronx,NY,10474-4607,7/14/21,Paid in Full,338725,338725,338725,WebBank,Y,Existing or more than 2 years old,28,611110,Y,Non-Profit Organization,342225.16,6/9/21,"1164 Garrison Avenue Bronx, NY",0101000020E6100000ACF12820D87852C000D2403EFF684440
215,215,World,M,100,A,"800 Food Center Dr, Bronx, New York, 10474","800 Food Center Dr, Bronx, NY, 10474, USA",800 Food Center Dr,PointAddress,NULL,NULL,"800 Food Center Dr, Bronx, New York, 10474",NULL,NULL,20,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL,Food Center,Dr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,800 Food Center Dr,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,15,USA,United States,ENG,0,-73.8764348,40.80423123,-73.8764348,40.80423123,-73.8774348,-73.8754348,40.80323123,40.80523123,NULL,"800 Food Center Drive Bronx, NY",33327,4187637700,MONTES SEAFOOD EMPORIUM INC-SBA SMALL 7A TERM,800 Food Center Drive,Bronx,NY,10474,7/22/21,Paid in Full,337440,337440,337440,"TD Bank, National Association",Y,Existing or more than 2 years old,26,445220,Y,Corporation,341208.08,6/11/21,"800 Food Center Drive Bronx, NY",0101000020E610000030F00082177852C0E0CD820CF1664440
216,216,World,M,100,A,"685 Tinton Ave, Bronx, New York, 10455","685 Tinton Ave, Bronx, NY, 10455, USA",685 Tinton Ave,PointAddress,NULL,NULL,"685 Tinton Ave, Bronx, New York, 10455",NULL,NULL,20,NULL,685,NULL,NULL,NULL,NULL,NULL,NULL,Tinton,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,685 Tinton Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,2201,USA,United States,ENG,0,-73.90530308,40.81635871,-73.90530308,40.81635871,-73.90630308,-73.90430308,40.81535871,40.81735871,NULL,"685 Tinton Avenue Bronx, NY",33672,9936487203,ROMAN CATHOLIC CHURCH OF SAINT ANSELM AND SAINT ROCH,685 Tinton Avenue,Bronx,NY,10455,2/19/22,Paid in Full,334100,334100,334100,Loan Source Incorporated,Y,Existing or more than 2 years old,52,813110,Y,Corporation,337642.38,6/1/21,"685 Tinton Avenue Bronx, NY",0101000020E6100000E0F3587CF07952C008D134717E684440
217,217,World,M,93.64,A,"Hunts Pt Co OP Mkt, Bronx, New York, 10474","Hunts Pt Co OP Mkt, Bronx, NY, 10474, USA",Hunts Pt Co OP Mkt,StreetName,NULL,NULL,"Hunts Pt Co OP Mkt, Bronx, New York, 10474",NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hunts Pt Co OP Mkt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hunts Pt Co OP Mkt,NULL,NULL,Hunts Point,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10474,NULL,USA,United States,ENG,0,-73.87318748,40.80672959,-73.87318748,40.80672959,-73.87418748,-73.87218748,40.80572959,40.80772959,BLDG A 1,"Bldg A-1 Hunts Point Co-op Market Bronx, NY",34220,9278197207,TONY'S FISH AND SEAFOOD CORP.,Bldg A-1 Hunts Point Co-op Market,Bronx,NY,10474-1252,3/18/21,Paid in Full,329595,329595,329595,"HSBC Bank USA, National Association",N,Existing or more than 2 years old,19,424460,Y,Subchapter S Corporation,332030.34,2/2/21,"Bldg A-1 Hunts Point Co-op Market Bronx, NY",0101000020E6100000B8C0C04DE27752C080524AEA42674440
218,218,World,M,100,A,"36 Bruckner Blvd, Bronx, New York, 10454","36 Bruckner Blvd, Bronx, NY, 10454, USA",36 Bruckner Blvd,PointAddress,NULL,NULL,"36 Bruckner Blvd, Bronx, New York, 10454",NULL,NULL,20,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,Bruckner,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36 Bruckner Blvd,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4493,USA,United States,ENG,0,-73.92794504,40.80686545,-73.92794504,40.80686545,-73.92894504,-73.92694504,40.80586545,40.80786545,NULL,"36 Bruckner Blvd Bronx, NY",35449,9430187308,YATES RESTORATION GROUP LTD,36 Bruckner Blvd,Bronx,NY,10454,9/23/21,Paid in Full,318877,318877,318877,WebBank,Y,Existing or more than 2 years old,24,236115,Y,Subchapter S Corporation,323048.97,8/19/21,"36 Bruckner Blvd Bronx, NY",0101000020E6100000C4F69273637B52C090CEF85D47674440
219,219,World,M,100,A,"2417 3rd Ave, Bronx, New York, 10451","2417 3rd Ave, Bronx, NY, 10451, USA",2417 3rd Ave,PointAddress,NULL,NULL,"2417 3rd Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,2417,NULL,NULL,NULL,NULL,NULL,NULL,3rd,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2417 3rd Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,6331,USA,United States,ENG,0,-73.9306601,40.80875712,-73.9306601,40.80875712,-73.9316601,-73.9296601,40.80775712,40.80975712,NULL,"2417 3rd Ave Suite 600 Bronx, NY",35577,6347637100,LUMIODE INC,2417 3rd Ave Suite 600,Bronx,NY,10451,6/23/21,Paid in Full,317585,317585,317585,Silicon Valley Bank,Y,Existing or more than 2 years old,12,541715,Y,Corporation,321051.97,5/21/21,"2417 3rd Ave Suite 600 Bronx, NY",0101000020E61000001CF762EF8F7B52C020CF725A85674440
220,220,World,M,100,A,"479 Walton Ave, Bronx, New York, 10451","479 Walton Ave, Bronx, NY, 10451, USA",479 Walton Ave,PointAddress,NULL,NULL,"479 Walton Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,479,NULL,NULL,NULL,NULL,NULL,NULL,Walton,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,479 Walton Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,5395,USA,United States,ENG,0,-73.92870594,40.81789172,-73.92870594,40.81789172,-73.92970594,-73.92770594,40.81689172,40.81889172,NULL,"479 Walton Ave Bronx, NY",36842,4465647203,LEARDON BOILER WORKS INC,479 Walton Ave,Bronx,NY,10451,3/9/22,Paid in Full,307300,307300,307300,Fountainhead SBF LLC,Y,Existing or more than 2 years old,18,238220,Y,Subchapter S Corporation,311004.67,7/21/21,"479 Walton Ave Bronx, NY",0101000020E6100000DCF60EEB6F7B52C060D102ADB0684440
221,221,World,M,100,A,"1314 Merriam Ave, Bronx, New York, 10452","1314 Merriam Ave, Bronx, NY, 10452, USA",1314 Merriam Ave,PointAddress,NULL,NULL,"1314 Merriam Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1314,NULL,NULL,NULL,NULL,NULL,NULL,Merriam,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1314 Merriam Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,2600,USA,United States,ENG,0,-73.92598401,40.84079288,-73.92598401,40.84079288,-73.92698401,-73.92498401,40.83979288,40.84179288,NULL,"1314 Merriam Ave Apt 1B Bronx, NY",38164,3537298806,FATU&DAUGHTER INTERNATIONAL LLC,1314 Merriam Ave Apt 1B,Bronx,NY,10452-2612,3/18/22,Paid in Full,298002,298002,298002,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,19,448140,Y,Corporation,300343.42,2/3/22,"1314 Merriam Ave Apt 1B Bronx, NY",0101000020E610000088F66A52437B52C040D7E0199F6B4440
222,222,World,M,100,A,"749 E 135th St, Bronx, New York, 10454","749 E 135th St, Bronx, NY, 10454, USA",749 E 135th St,PointAddress,NULL,NULL,"749 E 135th St, Bronx, New York, 10454",NULL,NULL,20,NULL,749,NULL,NULL,NULL,NULL,E,NULL,135th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,749 E 135th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3495,USA,United States,ENG,0,-73.91285375,40.80247509,-73.91285375,40.80247509,-73.91385375,-73.91185375,40.80147509,40.80347509,NULL,"749 E 135th St Bronx, NY",38267,5197298405,EDOKIA INC,749 E 135th St,Bronx,NY,10454-3408,2/25/22,Paid in Full,297479,297479,297479,New York University FCU,Y,Existing or more than 2 years old,16,511130,Y,Limited  Liability Company(LLC),299158.09,9/7/21,"749 E 135th St Bronx, NY",0101000020E6100000D8F426326C7A52C078CDFC80B7664440
223,223,World,M,100,A,"312 Walnut Ave, Bronx, New York, 10454","312 Walnut Ave, Bronx, NY, 10454, USA",312 Walnut Ave,StreetAddress,NULL,NULL,"312 Walnut Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,312,296,330,296-330,R,NULL,NULL,Walnut,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312 Walnut Ave,NULL,NULL,Port Morris,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10454,2017,USA,United States,ENG,0,-73.90689346,40.80428165,-73.90689346,40.80428165,-73.90789346,-73.90589346,40.80328165,40.80528165,NULL,"312 Walnut Ave Bronx, NY",40668,1181617308,"PLATINUM MILLWORKS, INC.",312 Walnut Ave,Bronx,NY,10454,7/21/21,Paid in Full,279385,279385,279385,Signature Bank,Y,Existing or more than 2 years old,18,238990,Y,Subchapter S Corporation,282553.91,6/24/21,"312 Walnut Ave Bronx, NY",0101000020E6100000D06FDC8A0A7A52C0B01071B3F2664440
224,224,World,M,100,A,"250 Walton Ave, Bronx, New York, 10451","250 Walton Ave, Bronx, NY, 10451, USA",250 Walton Ave,PointAddress,NULL,NULL,"250 Walton Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,Walton,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250 Walton Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,5416,USA,United States,ENG,0,-73.93014554,40.81401618,-73.93014554,40.81401618,-73.93114554,-73.92914554,40.81301618,40.81501618,NULL,"250 Walton Avenue, suite 2S Bronx, NY",40924,4504137207,E.S.B. ELECTRIC CORP,"250 Walton Avenue, suite 2S",Bronx,NY,10451,3/9/22,Paid in Full,277600,277600,277600,Fountainhead SBF LLC,Y,Existing or more than 2 years old,25,238210,Y,Subchapter S Corporation,281108.56,8/12/21,"250 Walton Avenue, suite 2S Bronx, NY",0101000020E61000000CF72481877B52C070D09EAE31684440
225,225,World,M,100,A,"625 E 137th St, Bronx, New York, 10454","625 E 137th St, Bronx, NY, 10454, USA",625 E 137th St,PointAddress,NULL,NULL,"625 E 137th St, Bronx, New York, 10454",NULL,NULL,20,NULL,625,NULL,NULL,NULL,NULL,E,NULL,137th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,625 E 137th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3142,USA,United States,ENG,0,-73.91592933,40.80540692,-73.91592933,40.80540692,-73.91692933,-73.91492933,40.80440692,40.80640692,NULL,"625 E 137th St Bronx, NY",41189,1185197702,METRO LUXURY INC.,625 E 137th St,Bronx,NY,10454,11/18/21,Paid in Full,275940,275940,275940,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,47,485320,Y,Corporation,279973.78,10/21/21,"625 E 137th St Bronx, NY",0101000020E61000003CF508969E7A52C030CEE49217674440
226,226,World,M,100,A,"907 E 141st St, Bronx, New York, 10454","907 E 141st St, Bronx, NY, 10454, USA",907 E 141st St,PointAddress,NULL,NULL,"907 E 141st St, Bronx, New York, 10454",NULL,NULL,20,NULL,907,NULL,NULL,NULL,NULL,E,NULL,141st,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,907 E 141st St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,2009,USA,United States,ENG,0,-73.90556326,40.80410806,-73.90556326,40.80410806,-73.90656326,-73.90456326,40.80310806,40.80510806,NULL,"907 East 141st Street Bronx, NY",42080,5282077309,IMPERIAL DAMPER AND LOUVER CO INC,907 East 141st Street,Bronx,NY,10454,6/4/21,Paid in Full,270353,270353,270353,Republic First Bank d/b/a Republic Bank,Y,Existing or more than 2 years old,19,332322,Y,Corporation,272893.58,5/5/21,"907 East 141st Street Bronx, NY",0101000020E6100000E8F398BFF47952C0E8CD4403ED664440
227,227,World,M,100,A,"369 E 149th St, Bronx, New York, 10455","369 E 149th St, Bronx, NY, 10455, USA",369 E 149th St,PointAddress,NULL,NULL,"369 E 149th St, Bronx, New York, 10455",NULL,NULL,20,NULL,369,NULL,NULL,NULL,NULL,E,NULL,149th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,369 E 149th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,NULL,USA,United States,ENG,0,-73.91877414,40.81653134,-73.91877414,40.81653134,-73.91977414,-73.91777414,40.81553134,40.81753134,NULL,"369 E 149th St Fl 7 Bronx, NY",43494,9571167110,"COMMUNITY CONNECTIONS FOR YOUTH, INC.",369 E 149th St Fl 7,Bronx,NY,10455-3906,3/23/21,Paid in Full,261600,261600,261600,"CRF Small Business Loan Company, LLC",Y,Existing or more than 2 years old,15,624110,Y,Non-Profit Organization,263857.64,3/9/21,"369 E 149th St Fl 7 Bronx, NY",0101000020E610000098F51032CD7A52C018D14A1984684440
228,228,World,M,83.5,A,"125 Bronx Terminal Market, Bronx, New York, 10451","125 Bronx Terminal Market, Bronx, NY, 10451, USA",125 Bronx Terminal Market,StreetAddress,NULL,NULL,"125 Bronx Terminal Market, Bronx, New York, 10451",NULL,NULL,20,NULL,125,1,299,1-299,L,NULL,NULL,Bronx Terminal Market,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125 Bronx Terminal Market,NULL,NULL,Mott Haven,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10451,NULL,USA,United States,ENG,0,-73.9304711,40.8196388,-73.9304711,40.8196388,-73.9314711,-73.9294711,40.8186388,40.8206388,A ROW A NYC,"125 A Row A,NYC Terminal Marker Bronx, NY",43513,3697567110,LD LOGISTICS LLC,"125 A Row A,NYC Terminal Marker",Bronx,NY,10474,7/14/21,Paid in Full,261452,261452,261452,Cross River Bank,N,Existing or more than 2 years old,12,541614,Y,Limited  Liability Company(LLC),264460.49,6/15/21,"125 A Row A,NYC Terminal Marker Bronx, NY",0101000020E6100000C04DA4D68C7B52C0900D91ECE9684440
229,229,World,M,100,A,"251 Locust Ave, Bronx, New York, 10454","251 Locust Ave, Bronx, NY, 10454, USA",251 Locust Ave,PointAddress,NULL,NULL,"251 Locust Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,251,NULL,NULL,NULL,NULL,NULL,NULL,Locust,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251 Locust Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,2004,USA,United States,ENG,0,-73.90690034,40.80269336,-73.90690034,40.80269336,-73.90790034,-73.90590034,40.80169336,40.80369336,NULL,"251 Locust Avenue Bronx, NY",43906,1300997310,"DUFOUR PASTRY KITCHENS, INC.",251 Locust Avenue,Bronx,NY,10454,7/20/21,Paid in Full,259100,259100,259100,Signature Bank,Y,Existing or more than 2 years old,29,424420,Y,Subchapter S Corporation,261946.55,6/14/21,"251 Locust Avenue Bronx, NY",0101000020E610000014F4B8A70A7A52C080CDECA7BE664440
230,230,World,M,100,A,"396 E 155th St, Bronx, New York, 10455","396 E 155th St, Bronx, NY, 10455, USA",396 E 155th St,PointAddress,NULL,NULL,"396 E 155th St, Bronx, New York, 10455",NULL,NULL,20,NULL,396,NULL,NULL,NULL,NULL,E,NULL,155th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,396 E 155th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,1112,USA,United States,ENG,0,-73.91622345,40.82014557,-73.91622345,40.82014557,-73.91722345,-73.91522345,40.81914557,40.82114557,NULL,"396 E. 155th Street Bronx, NY",45003,4363448208,BROTHERS BOAT CLEANING SERVICES CORP.,396 E. 155th Street,Bronx,NY,10455-1104,5/14/22,Paid in Full,252500,252500,252500,New York Business Development Corporation,Y,Existing or more than 2 years old,25,713930,Y,Corporation,255357.05,10/6/21,"396 E. 155th Street Bronx, NY",0101000020E610000044F5AA67A37A52C0E8D1B087FA684440
231,231,World,M,100,A,"1465 Nelson Ave, Bronx, New York, 10452","1465 Nelson Ave, Bronx, NY, 10452, USA",1465 Nelson Ave,PointAddress,NULL,NULL,"1465 Nelson Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1465,NULL,NULL,NULL,NULL,NULL,NULL,Nelson,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1465 Nelson Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,1758,USA,United States,ENG,0,-73.92126675,40.84384607,-73.92126675,40.84384607,-73.92226675,-73.92026675,40.84284607,40.84484607,NULL,"1465 Nelson Avenue Bronx, NY",46734,9893307205,HIGHBRIDGE COMMUNITY HOUSING DEVELOPMENT FUND CORPORATION,1465 Nelson Avenue,Bronx,NY,10452,2/19/22,Paid in Full,244400,244400,244400,Loan Source Incorporated,Y,Existing or more than 2 years old,38,531110,Y,Corporation,247500.2,8/19/21,"1465 Nelson Avenue Bronx, NY",0101000020E6100000E8F5D408F67A52C000D8E825036C4440
